,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例,现有确诊,现有重症
2020-02-12,44763,4795,1115,2055,16067,,
2020-02-06,28127,1276,564,3706,24702,,
2020-02-07,31261,1684,637,3153,26359,,
2020-02-13,59901,5997,1368,15171,13435,,
2020-02-05,24426,960,493,3917,23260,,
2020-02-11,42747,4056,1017,2512,21675,,
2020-02-10,40262,3459,909,3064,23589,,
2020-02-04,20528,738,426,3231,23214,,
2020-02-28,78961,36207,2791,331,2308,39963,7952
2020-02-14,63946,6830,1382,5107,10109,,
2020-02-15,66580,8202,1524,2648,8969,,
2020-02-01,11889,269,259,2092,17988,,
2020-02-29,79394,39090,2838,435,1418,37466,7664
2020-02-17,70641,10932,1772,2057,7264,57937,10644
2020-02-03,17335,515,361,2848,21558,,
2020-02-02,14482,351,304,2578,19544,,
2020-02-16,68594,9519,1667,2019,8228,57408,11272
2020-03-19,81246,70548,3250,95,105,7448,2314
2020-03-25,81896,73793,3287,149,134,4816,1399
2020-03-18,81142,68800,3231,26,128,9111,2830
2020-11-23,92725,87330,4749,77,0,646,5
2020-03-23,81691,72844,3276,193,136,5571,1749
2020-03-22,81501,72385,3267,85,118,5849,1845
2020-01-31,9809,179,213,1955,15238,,
2020-03-08,80864,57152,3101,51,458,20611,5264
2020-03-09,80904,58684,3123,45,421,19097,5111
2020-04-28,84367,78667,4643,26,9,1057,50
2020-01-30,7828,134,170,1727,12167,,
2020-01-29,6014,109,132,1340,9239,,
2020-03-04,80424,49942,2984,122,520,27498,6416
2020-03-11,80967,61574,3162,43,285,16231,4492
2020-03-05,80566,52129,3016,144,522,25421,5952
2020-01-28,4629,71,106,1220,,,
2020-03-13,81003,64219,3181,11,147,13603,4020
2020-03-07,80813,55477,3073,103,502,22263,5489
2020-03-06,80710,53793,3045,145,482,23872,5737
2020-03-12,80980,62887,3173,25,253,14920,4257
2020-03-02,80174,44518,2915,206,715,32741,7110
2020-03-03,80303,47301,2947,129,587,30055,6806
2020-03-17,81134,68800,3231,57,128,9103,2830
2020-03-01,79971,41712,2873,582,851,35386,7365
2020-03-15,81062,67023,3204,41,113,10835,3226
2020-02-27,78631,32595,2747,441,2358,43289,8346
2020-02-26,78196,29851,2718,417,2491,45627,8752
2020-02-24,77262,24757,2595,416,3434,49910,9915
2020-02-18,72531,12671,1871,1896,6242,57989,11741
2020-02-19,74281,14473,2009,1753,5248,57799,11977
2020-02-25,77785,27417,2666,523,2824,47702,9126
2020-02-09,37278,2795,813,2680,28942,,
2020-02-21,75997,18411,2239,1322,5206,55347,11633
2020-02-20,74679,16319,2122,403,4922,56238,11864
2020-02-08,34664,2304,724,3418,27657,,
2020-02-22,76396,20768,2348,403,5365,53280,11477
2020-02-23,77048,22983,2445,656,4148,51620,10968
