,累计确诊,累计治愈,累计死亡,新增确诊,疑似病例,现有确诊
02.24,77658,27323,2663,508,2824,47672
02.25,78064,29745,2715,406,2491,45604
02.26,78497,32495,2744,433,2358,43258
02.27,78824,36117,2788,327,2308,39919
02.28,79251,39002,2835,427,1418,37414
02.29,79824,41625,2870,573,851,35329
03.01,80026,44462,2912,202,715,32652
03.02,80151,47204,2943,125,587,30004
03.03,80270,49856,2981,119,520,27433
03.04,80409,52045,3012,139,522,25352
03.05,80552,53726,3042,143,482,23784
03.06,80651,55404,3070,99,502,22177
03.07,80695,57065,3097,44,458,20533
03.08,80735,58600,3119,40,421,19016
03.09,80754,59897,3136,19,349,17721
03.10,80778,61475,3158,24,285,16145
03.11,80793,62793,3169,15,253,14831
03.12,80813,64111,3176,8,147,13526
03.13,80824,65541,3189,11,115,12094
03.14,80844,66911,3199,20,113,10734
03.15,80860,67749,3213,16,134,9898
03.16,80881,68679,3226,21,128,8976
03.17,80894,69601,3237,13,119,8056
03.18,80928,70420,3245,34,105,7263
03.19,80967,71150,3248,39,104,6569
03.20,81008,71740,3255,41,106,6013
03.21,81054,72244,3261,46,118,5549
03.22,81093,72703,3270,39,136,5120
03.23,81171,73159,3277,78,132,4735
03.24,81218,73650,3281,47,134,4287
03.25,81285,74051,3287,67,159,3947
03.26,81340,74588,3292,55,189,3460
03.27,81394,74971,3295,54,184,3128
03.28,81439,75448,3300,45,174,2691
03.29,81470,75770,3304,31,168,2396
03.30,81518,76052,3305,48,183,2161
03.31,81554,76238,3312,36,172,2004
04.01,81589,76408,3318,35,153,1863
04.02,81620,76571,3322,31,135,1727
04.03,81639,76751,3326,19,114,1562
04.04,81669,76964,3329,30,107,1376
04.05,81708,77078,3331,39,88,1299
04.06,81740,77167,3331,32,89,1242
04.07,81802,77279,3333,62,83,1190
04.08,81865,77370,3335,63,73,1160
04.09,81907,77455,3336,42,53,1116
04.10,81953,77525,3339,46,44,1089
04.11,82052,77575,3339,99,82,1138
04.12,82160,77663,3341,108,72,1156
04.13,82249,77738,3341,89,72,1170
04.14,82295,77816,3342,46,73,1137
04.15,82341,77892,3342,46,63,1107
04.16,82367,77944,3342,26,62,1081
04.17,82719,77029,4632,27,63,1058
04.18,82735,77062,4632,16,48,1041
04.19,82747,77084,4632,12,43,1031
04.20,82758,77123,4632,11,37,1003
04.21,82788,77151,4632,30,35,1005
04.22,82798,77207,4632,10,20,959
04.23,82804,77257,4632,6,20,915
04.24,82816,77346,4632,12,17,838
04.25,82827,77394,4632,11,12,801
04.26,82830,77474,4633,3,10,723
04.27,82836,77555,4633,6,9,648
04.28,82858,77578,4633,22,10,647
04.29,82862,77610,4633,4,10,619
04.30,82874,77642,4633,12,9,599
05.01,82875,77685,4633,1,11,557
05.02,82877,77713,4633,2,10,531
05.03,82880,77766,4633,3,3,481
05.04,82881,77853,4633,1,2,395
05.05,82883,77911,4633,2,5,339
05.06,82885,77957,4633,2,4,295
05.07,82886,77993,4633,1,6,260
05.08,82887,78046,4633,1,8,208
05.09,82901,78120,4633,14,4,148
05.10,82918,78144,4633,17,3,141
05.11,82919,78171,4633,1,3,115
05.12,82926,78189,4633,7,4,104
05.13,82929,78195,4633,3,4,101
05.14,82933,78209,4633,4,4,91
05.15,82941,78219,4633,8,3,89
05.16,82947,78227,4634,5,4,86
05.17,82954,78238,4634,7,4,82
05.18,82960,78241,4634,6,3,85
05.19,82965,78244,4634,5,7,87
05.20,82967,78249,4634,2,7,84
05.21,82971,78255,4634,4,7,82
05.22,82971,78258,4634,0,6,79
05.23,82974,78261,4634,3,9,79
05.24,82985,78268,4634,11,6,83
05.25,82992,78277,4634,7,5,81
05.26,82993,78280,4634,1,6,79
05.27,82995,78288,4634,2,5,73
05.28,82995,78291,4634,0,5,70
05.29,82999,78302,4634,4,5,63
05.30,83001,78304,4634,2,4,63
05.31,83017,78307,4634,16,3,76
06.01,83022,78315,4634,5,2,73
06.02,83021,78314,4634,1,3,73
06.03,83022,78319,4634,1,3,69
06.04,83027,78327,4634,5,2,66
06.05,83030,78329,4634,3,2,67
06.06,83036,78332,4634,6,3,70
06.07,83040,78341,4634,4,4,65
06.08,83043,78351,4634,3,1,58
06.09,83046,78357,4634,3,2,55
06.10,83057,78361,4634,11,1,62
06.11,83064,78365,4634,7,1,65
06.12,83075,78367,4634,11,1,74
06.13,83132,78369,4634,57,2,129
06.14,83181,78370,4634,49,3,177
06.15,83221,78377,4634,40,4,210
06.16,83265,78379,4634,44,7,252
06.17,83293,78394,4634,28,7,265
06.18,83325,78398,4634,32,7,293
06.19,83352,78410,4634,27,11,308
06.20,83378,78413,4634,26,13,331
06.21,83396,78413,4634,18,15,349
06.22,83418,78425,4634,22,15,359
06.23,83430,78428,4634,12,18,368
06.24,83449,78433,4634,19,13,382
06.25,83462,78439,4634,13,10,389
06.26,83483,78444,4634,21,8,405
06.27,83500,78451,4634,17,8,415
06.28,83512,78460,4634,12,10,418
06.29,83531,78469,4634,19,7,428
06.30,83534,78479,4634,3,8,421
07.01,83537,78487,4634,3,5,416
07.02,83542,78499,4634,5,6,409
07.03,83545,78509,4634,3,7,402
07.04,83553,78516,4634,8,7,403
07.05,83557,78518,4634,4,7,405
07.06,83565,78528,4634,8,7,403
07.07,83572,78548,4634,7,6,390
07.08,83581,78590,4634,9,5,357
07.09,83585,78609,4634,4,8,342
07.10,83587,78623,4634,2,8,330
07.11,83594,78634,4634,7,7,326
07.12,83602,78648,4634,8,7,320
07.13,83605,78674,4634,3,5,297
07.14,83611,78693,4634,6,3,284
07.15,83612,78719,4634,1,3,259
07.16,83622,78737,4634,10,3,251
07.17,83644,78758,4634,22,4,252
07.18,83660,78775,4634,16,4,251
07.19,83682,78799,4634,22,4,249
07.20,83693,78817,4634,11,1,242
07.21,83707,78840,4634,14,1,233
07.22,83729,78855,4634,22,4,240
07.23,83750,78873,4634,21,2,243
07.24,83784,78889,4634,34,2,261
07.25,83830,78908,4634,46,3,288
07.26,83891,78918,4634,61,3,339
07.27,83959,78934,4634,68,1,391
07.28,84060,78944,4634,101,1,482
07.29,84165,78957,4634,105,2,574
07.30,84292,78974,4634,127,2,684
07.31,84337,78989,4634,45,2,714
08.01,84385,79003,4634,49,2,748
08.02,84428,79013,4634,43,4,781
08.03,84464,79030,4634,36,5,800
08.04,84491,79047,4634,27,3,810
08.05,84528,79057,4634,37,2,837
08.06,84565,79088,4634,37,3,843
08.07,84596,79123,4634,31,7,839
08.08,84619,79168,4634,23,6,817
08.09,84668,79232,4634,49,7,802
08.10,84712,79284,4634,44,3,794
08.11,84737,79342,4634,25,3,761
