,年末总人口(万人),男性人口(万人),女性人口(万人),城镇人口(万人),乡村人口(万人),人口出生率(‰),人口死亡率(‰),人口自然增长率(‰),0-14岁人口(万人),15-64岁人口(万人),65岁及以上人口(万人),总抚养比(%),少儿抚养比(%),老年抚养比(%)
2019,140005.0,71527.0,68478.0,84843.0,55162.0,10.48,7.14,3.34,25061.0,97341.0,17603.0,43.82942439,25.74557483,18.08384956
2018,139538.0,71351.0,68187.0,83136.7404,56401.2596,10.94,7.13,3.81,23523.0,99357.0,16658.0,40.4410358605836,23.6752317400888,16.7658041204948
2017,139008.0,71137.0,67871.0,81347.4816,57660.5184,12.43,7.11,5.32,23348.0,99829.0,15831.0,39.2461108495527,23.3879934688317,15.858117380721
2016,138271.0,70815.0,67456.0,79298.4185,58972.5815,12.95,7.09,5.86,23008.0,100260.0,15003.0,37.9,22.9,15.0
2015,137462.0,70414.0,67048.0,77116.182,60345.818,12.07,7.11,4.96,22715.0,100361.0,14386.0,36.9675471547713,22.6332938093483,14.334253345423
2014,136782.0,70079.0,66703.0,74915.5014,61866.4986,12.37,7.16,5.21,22558.0,100469.0,13755.0,36.2,22.45269685,13.69079019
2013,136072.0,69728.0,66344.0,73111.4856,62960.5144,12.08,7.16,4.92,22329.0,100582.0,13161.0,35.2846433755543,22.19979718041,13.0848461951443
2012,135404.0,69395.0,66009.0,71181.8828,64222.1172,12.1,7.15,4.95,22287.0,100403.0,12714.0,34.8605121360916,22.1975438980907,12.6629682380009
2011,134735.0,69068.0,65667.0,69078.6345,65656.3655,11.93,7.14,4.79,22164.0,100283.0,12288.0,34.3547759839654,22.101452888326,12.2533230956393
2010,134091.0,68748.4557,65342.5443,66978.4545,67112.5455,11.9,7.11,4.79,22259.0,99938.0,11894.0,34.2,22.3,11.9
2009,133450.0,68646.68,64803.32,64512.0,68938.0,11.95,7.08,4.87,24659.0,97484.0,11307.0,36.8942595708014,25.2954330967133,11.5988264740881
2008,132802.0,68357.0,64445.0,62403.0,70399.0,12.14,7.06,5.08,25166.0,96680.0,10956.0,37.3624327678941,26.0302027306578,11.3322300372362
2007,132129.0,68048.0,64081.0,60633.0,71496.0,12.1,6.93,5.17,25660.0,95833.0,10636.0,37.8742186929346,26.7757453069402,11.0984733859944
2006,131448.0,67728.0,63720.0,58288.0,73160.0,12.09,6.81,5.28,25961.0,95068.0,10419.0,38.2673454790255,27.3078217696807,10.9595237093449
2005,130756.0,67375.0,63381.0,56212.0,74544.0,12.4,6.51,5.89,26504.0,94197.0,10055.0,38.8112147945264,28.1367771797403,10.674437614786
2004,129988.0,66976.0,63012.0,54283.0,75705.0,12.29,6.42,5.87,27947.0,92184.0,9857.0,41.0092857762735,30.3165408313807,10.6927449448928
2003,129227.0,66556.0,62671.0,52376.0,76851.0,12.41,6.4,6.01,28559.0,90976.0,9692.0,42.0451547660922,31.3917956384101,10.653359127682
2002,128453.0,66115.0,62338.0,50212.0,78241.0,12.86,6.41,6.45,28774.0,90302.0,9377.0,42.2482337046798,31.864189054506,10.3840446501739
2001,127627.0,65672.0,61955.0,48064.0,79563.0,13.38,6.43,6.95,28716.075,89849.408,9062.0,42.0459921116008,31.9602272727273,10.0857648388735
2000,126743.0,65437.0,61306.0,45906.0,80837.0,14.03,6.45,7.58,29012.0,88910.0,8821.0,42.55966123,32.63658171,9.923079522
1999,125786.0,64692.0,61094.0,43748.0,82038.0,14.64,6.46,8.18,31949.644,85157.122,8679.0,47.7196070576457,37.5184638109306,10.2011432467152
1998,124761.0,63940.0,60821.0,41608.0,83153.0,15.64,6.5,9.14,32064.0,84338.0,8359.0,47.928222633101,38.0173517280614,9.91087090503959
1997,123626.0,63131.0,60495.0,39449.0,84177.0,16.57,6.51,10.06,32093.3096,83447.55,8085.1404,48.1481481481482,38.4592592592593,9.68888888888889
1996,122389.0,62200.0,60189.0,37304.0,85085.0,16.98,6.56,10.42,32311.0,82245.408,7833.0,48.8095238095238,39.2708333333333,9.53869047619048
1995,121121.0,61808.0,59313.0,35174.0,85947.0,17.12,6.57,10.55,32218.0,81393.312,7509.502,48.8092952895196,39.5831048133291,9.22619047619048
1994,119850.0,61246.0,58604.0,34169.0,85681.0,17.7,6.49,11.21,32359.5,79868.04,7622.46,50.0600240096038,40.516206482593,9.54381752701081
1993,118517.0,60472.0,58045.0,33173.0,85344.0,18.09,6.64,11.45,32177.3655,79050.839,7288.7955,49.9250374812594,40.7046476761619,9.22038980509745
1992,117171.0,59811.0,57360.0,32175.0,84996.0,18.24,6.64,11.6,32339.196,77614.0704,7217.7336,50.9661835748792,41.6666666666667,9.29951690821256
1991,115823.0,59466.0,56357.0,31203.0,84620.0,19.68,6.7,12.98,32094.5533,76790.649,6937.7977,50.8295625942685,41.7948717948718,9.03469079939668
1990,114333.0,58904.0,55429.0,30195.0,84138.0,21.06,6.67,14.39,31658.8077,76305.8442,6368.3481,49.8351813,41.4893617,8.345819598
1989,112704.0,58099.0,54605.0,29540.0,83164.0,21.58,6.54,15.04,0.0,0.0,0.0,0.0,0.0,0.0
1988,111026.0,57201.0,53825.0,28661.0,82365.0,22.37,6.64,15.73,0.0,0.0,0.0,0.0,0.0,0.0
1987,109300.0,56290.0,53010.0,27674.0,81626.0,23.33,6.72,16.61,31347.24,71984.98,5967.78,51.8372304889159,43.5469177042211,8.29031278469481
1986,107507.0,55581.0,51926.0,26366.0,81141.0,22.43,6.86,15.57,0.0,0.0,0.0,0.0,0.0,0.0
1985,105851.0,54725.0,51126.0,25094.0,80757.0,21.04,6.78,14.26,0.0,0.0,0.0,0.0,0.0,0.0
1984,104357.0,53848.0,50509.0,24017.0,80340.0,19.9,6.82,13.08,0.0,0.0,0.0,0.0,0.0,0.0
1983,103008.0,53152.0,49856.0,22274.0,80734.0,20.19,6.9,13.29,0.0,0.0,0.0,0.0,0.0,0.0
1982,101654.0,52352.0,49302.0,21480.0,80174.0,22.28,6.6,15.68,34145.5786,62517.21,4991.2114,62.60162602,54.61788618,7.983739837
