,标识符,机型,始发地,出发,到达
0,CXA8521,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 01:23PM CST,Thu 02:32PM CST
1,CES5408,A359,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 12:25PM CST,Thu 02:28PM CST
2,CSH9132,737,Tianjin Binhai Int'l (TSN / ZBTJ),Thu 12:46PM CST,Thu 02:27PM CST
3,CDG4669,B738,Qingdao Liuting Int'l (TAO / ZSQD),Thu 01:03PM CST,Thu 02:26PM CST
4,CSN3831,A21N,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 12:44PM CST,Thu 02:22PM CST
5,CSH9332,A333,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 12:41PM CST,Thu 02:21PM CST
6,CSH9308,B789,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 12:40PM CST,Thu 02:17PM CST
7,CES5428,A332,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:27PM CST,Thu 02:17PM CST
8,CQH8898,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:25PM CST,Thu 02:17PM CST
9,CXA8577,B738,Quanzhou Jinjiang (JJN / ZSQZ),Thu 01:06PM CST,Thu 02:14PM CST
10,CSH9538,B789,Sanya Phoenix Int'l (SYX / ZJSY),Thu 11:38AM CST,Thu 02:12PM CST
11,CCA1557,A333,Beijing Capital Int'l (PEK / ZBAA),Thu 12:25PM CST,Thu 02:11PM CST
12,CDG4863,B738,Penglai International (YNT / ZSYT),Thu 12:33PM CST,Thu 02:05PM CST
13,CSN3539,B77W,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 12:22PM CST,Thu 02:04PM CST
14,CSN3551,A321,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 12:19PM CST,Thu 02:02PM CST
15,CES5308,A333,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 12:23PM CST,Thu 02:01PM CST
16,CSH9514,B738,Zhuhai Int'l (ZUH / ZGSD),Thu 12:12PM CST,Thu 01:58PM CST
17,CSH9202,737,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 12:09PM CST,Thu 01:54PM CST
18,CSH9340,737,Nanning Wuxu Int'l (NNG / ZGNN),Thu 11:47AM CST,Thu 01:52PM CST
19,CSZ9507,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 12:02PM CST,Thu 01:50PM CST
20,CES5110,A321,Beijing Capital Int'l (PEK / ZBAA),Thu 12:07PM CST,Thu 01:50PM CST
21,DKH1078,B789,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 12:13PM CST,Thu 01:50PM CST
22,CSH9348,A321,Wuhan Tianhe (WUH / ZHHH),Thu 12:40PM CST,Thu 01:41PM CST
23,CSN6981,B738,Urumqi Diwopu Int'l (URC / ZWWW),Thu 09:39AM CST,Thu 01:39PM CST
