,标识符,机型,始发地,出发,到达
0,CCA1326,B738,Kunming Changshui Int'l (KMG / ZPPP),Wed 10:34PM CST,Thu 01:48AM CST
1,CHH7292,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 10:44PM CST,Thu 01:22AM CST
2,CHH7166,B738,Yulin (UYN / ZLYL),Wed 11:56PM CST,Thu 01:15AM CST
3,CCA1494,A321,Guiyang Longdongbao (KWE / ZUGY),Wed 10:39PM CST,Thu 01:13AM CST
4,CCA8682,B737,Mianyang Nanjiao (MIG / ZUMY),Wed 10:33PM CST,Thu 01:00AM CST
5,GDC7160,B738,Zhuhai Int'l (ZUH / ZGSD),Wed 10:00PM CST,Thu 12:56AM CST
6,CCA1226,A320,Guilin Liangjiang Int'l (KWL / ZGKL),Wed 10:15PM CST,Thu 12:49AM CST
7,LKE9981,737,Tengchong Tuofeng (TCZ / ZPTC),Wed 09:05PM CST,Thu 12:41AM CST
8,CHH7622,B738,Jiamusi (JMU / ZYJM),Wed 10:23PM CST,Thu 12:37AM CST
9,CHH7232,B738,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 10:44PM CST,Thu 12:36AM CST
10,CCA1474,B732,Zhuhai Int'l (ZUH / ZGSD),Wed 09:40PM CST,Thu 12:35AM CST
11,CCA1346,B773,Sanya Phoenix Int'l (SYX / ZJSY),Wed 09:07PM CST,Thu 12:32AM CST
12,CCA1292,B738,Urumqi Diwopu Int'l (URC / ZWWW),Wed 09:03PM CST,Thu 12:30AM CST
13,CSZ9113,A333,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 09:48PM CST,Thu 12:29AM CST
14,CHH7781,B738,Haikou Meilan Int'l (HAK / ZJHK),Wed 09:19PM CST,Thu 12:24AM CST
15,CCA1240,B738,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 10:31PM CST,Thu 12:22AM CST
16,GDC7180,B738,Sanya Phoenix Int'l (SYX / ZJSY),Wed 08:52PM CST,Thu 12:21AM CST
17,CCA1240,B738,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 10:31PM CST,Thu 12:22AM CST
18,GDC7180,B738,Sanya Phoenix Int'l (SYX / ZJSY),Wed 08:52PM CST,Thu 12:21AM CST
19,CHH7112,B738,Kunming Changshui Int'l (KMG / ZPPP),Wed 09:08PM CST,Thu 12:19AM CST
20,CES5282,A333,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 09:43PM CST,Thu 12:18AM CST
21,CCA1886,747,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 10:19PM CST,Thu 12:15AM CST
22,CHH7126,B738,Hailar Dongshan (HLD / ZBLA),Wed 10:21PM CST,Thu 12:09AM CST
23,CCA1408,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 09:38PM CST,Thu 12:06AM CST
24,CHH7802,A330,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 09:22PM CST,Thu 12:04AM CST
25,CCA1898,A320,Kashgar (Kashi) (KHG / ZWSH),Wed 07:14PM CST,Thu 12:04AM CST
26,CHH7178,B738,Dongying Shengli (DOY / ZSDY),Wed 11:14PM CST,Thu 12:02AM CST
27,CCA8350,A319,Lijiang (LJG / ZPLJ),Wed 08:47PM CST,Wed 11:59PM CST
28,CHH7702,B789,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 09:11PM CST,Wed 11:54PM CST
29,GDC7150,B738,Harbin Taiping Int'l (HRB / ZYHB),Wed 10:11PM CST,Wed 11:54PM CST
30,CCA4122,A319,Jiuzhaigou Huanglong (JZH / ZUJZ),Wed 09:16PM CST,Wed 11:51PM CST
31,CCA8336,A320,Harbin Taiping Int'l (HRB / ZYHB),Wed 10:06PM CST,Wed 11:50PM CST
32,CCA1816,A332,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 09:25PM CST,Wed 11:49PM CST
33,CCA1130,B738,Hailar Dongshan (HLD / ZBLA),Wed 09:47PM CST,Wed 11:45PM CST
34,CCA1816,A332,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 09:25PM CST,Wed 11:49PM CST
35,CCA1130,B738,Hailar Dongshan (HLD / ZBLA),Wed 09:47PM CST,Wed 11:45PM CST
36,CHH7136,B789,Changsha Huanghua Int'l (CSX / ZGHA),Wed 09:38PM CST,Wed 11:37PM CST
37,CCA1366,A333,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 08:56PM CST,Wed 11:35PM CST
38,QTR8068,B77W,Hamad Int'l (DOH / OTHH),Wed 11:20AM +03,Wed 11:32PM CST
39,CES5165,A321,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 09:35PM CST,Wed 11:31PM CST
40,CHH7146,B738,Urumqi Diwopu Int'l (URC / ZWWW),Wed 08:05PM CST,Wed 11:28PM CST
41,CSZ9111,A320,Yichun Mingyueshan (YIC / ZSYC),Wed 09:16PM CST,Wed 11:28PM CST
42,CCA1622,A320,Harbin Taiping Int'l (HRB / ZYHB),Wed 09:39PM CST,Wed 11:23PM CST
43,CCA1358,B773,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 08:39PM CST,Wed 11:22PM CST
44,CHH7880,A333,Sanya Phoenix Int'l (SYX / ZJSY),Wed 07:46PM CST,Wed 11:19PM CST
45,CCA1356,B77W,Haikou Meilan Int'l (HAK / ZJHK),Wed 07:58PM CST,Wed 11:14PM CST
46,CHH7678,A333,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 09:16PM CST,Wed 11:10PM CST
47,CHH7602,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 09:03PM CST,Wed 11:08PM CST
48,CDG4993,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 08:24PM CST,Wed 11:06PM CST
49,CSZ9156,B738,Sanya Phoenix Int'l (SYX / ZJSY),Wed 07:03PM CST,Wed 11:06PM CST
50,CHH7581,B738,Haikou Meilan Int'l (HAK / ZJHK),Wed 07:43PM CST,Wed 11:06PM CST
51,CCA8211,A320,Wuhan Tianhe (WUH / ZHHH),Wed 09:12PM CST,Wed 11:04PM CST
52,CHH7252,B738,Wenzhou Int'l (WNZ / ZSWZ),Wed 08:29PM CST,Wed 11:02PM CST
