,标识符,机型,始发地,出发,到达
0,CES2854,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Thu 12:25PM CST,Thu 02:30PM CST
1,CHB6259,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:57PM CST,Thu 02:29PM CST
2,DKH1711,A320,Harbin Taiping Int'l (HRB / ZYHB),Thu 11:56AM CST,Thu 02:25PM CST
3,KNA8203,B737,Kunming Changshui Int'l (KMG / ZPPP),Thu 12:07PM CST,Thu 02:07PM CST
4,CSC8021,A320,Mianyang Nanjiao (MIG / ZUMY),Thu 12:05PM CST,Thu 02:03PM CST
5,CES2846,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:22PM CST,Thu 01:55PM CST
6,CXA8069,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 12:27PM CST,Thu 01:53PM CST
7,CSZ9385,A320,Nanning Wuxu Int'l (NNG / ZGNN),Thu 11:55AM CST,Thu 01:50PM CST
8,HBH3244,E190,Fuzhou Changle Int'l (FOC / ZSFZ),Thu 12:35PM CST,Thu 01:48PM CST
9,CSN6511,A320,Changchun Longjia Int'l (CGQ / ZYCC),Thu 11:25AM CST,Thu 01:42PM CST
10,CES2926,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 11:59AM CST,Thu 01:38PM CST
11,CES2884,A319,Jieyang Chaoshan International Airport (SWA / ZGOW),Thu 12:08PM CST,Thu 01:36PM CST
12,CSZ9863,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 11:51AM CST,Thu 01:33PM CST
13,DKH1724,A320,Yingkou Lanqi (YKH / ZYYK),Thu 11:42AM CST,Thu 01:30PM CST
14,DKH1702,A20N,Guiyang Longdongbao (KWE / ZUGY),Thu 11:25AM CST,Thu 01:11PM CST
15,CES2364,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 11:21AM CST,Thu 01:08PM CST
16,CES2824,A320,Zunyi (ZYI / ZUZY),Thu 11:40AM CST,Thu 01:03PM CST
17,CSZ9861,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 11:14AM CST,Thu 12:59PM CST
18,CSZ9861,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 11:14AM CST,Thu 12:59PM CST
19,CSC8995,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 11:05AM CST,Thu 12:56PM CST
20,CSZ8319,A320,Zhuhai Int'l (ZUH / ZGSD),Thu 10:59AM CST,Thu 12:53PM CST
21,DKH1786,A320,Chifeng (CIF / ZBCF),Thu 11:07AM CST,Thu 12:51PM CST
22,CHH7021,B738,Haikou Meilan Int'l (HAK / ZJHK),Thu 10:25AM CST,Thu 12:48PM CST
23,DKH1772,A320,Taiyuan Wusu (TYN / ZBYN),Thu 11:12AM CST,Thu 12:46PM CST
24,CSZ9841,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 10:58AM CST,Thu 12:44PM CST
25,CSH9431,B738,Changchun Longjia Int'l (CGQ / ZYCC),Thu 10:15AM CST,Thu 12:39PM CST
26,CES2363,A320,Taiyuan Wusu (TYN / ZBYN),Thu 11:10AM CST,Thu 12:35PM CST
27,DKH1780,A320,Lüliang (LLV / ZBLL),Thu 10:50AM CST,Thu 12:32PM CST
28,CSN3599,A21N,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 10:47AM CST,Thu 12:29PM CST
29,DKH1782,A320,Linfen Qiaoli (LFQ / ZBLF),Thu 10:56AM CST,Thu 12:27PM CST
30,CES2871,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 11:09AM CST,Thu 12:23PM CST
31,CES9721,737,Dali (DLU / ZPDL),Thu 10:04AM CST,Thu 12:20PM CST
32,CES2924,A320,Qingdao Liuting Int'l (TAO / ZSQD),Thu 11:12AM CST,Thu 12:11PM CST
