,标识符,机型,始发地,出发,到达
0,CSC8325,A320,Harbin Taiping Int'l (HRB / ZYHB),Thu 11:19AM CST,Thu 01:52PM CST
1,CSC8593,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:05PM CST,Thu 01:49PM CST
2,CES2969,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 11:14AM CST,Thu 12:50PM CST
3,CES2972,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 11:00AM CST,Thu 12:36PM CST
4,CES2954,A320,Kunming Changshui Int'l (KMG / ZPPP),Thu 10:20AM CST,Thu 12:31PM CST
5,CQH6173,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Thu 10:14AM CST,Thu 12:15PM CST
6,CES2928,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 10:14AM CST,Thu 11:37AM CST
7,CSZ9651,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 09:13AM CST,Thu 11:03AM CST
8,CDC8115,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 09:21AM CST,Thu 10:59AM CST
9,CSZ9676,A320,Harbin Taiping Int'l (HRB / ZYHB),Thu 08:26AM CST,Thu 10:56AM CST
10,CSN3899,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 09:07AM CST,Thu 10:53AM CST
11,CSZ8733,A320,Quanzhou Jinjiang (JJN / ZSQZ),Thu 09:07AM CST,Thu 10:26AM CST
12,CCA4589,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 08:13AM CST,Thu 10:13AM CST
13,CES9695,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 08:08AM CST,Thu 10:09AM CST
14,CSZ9931,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 07:52AM CST,Thu 09:36AM CST
15,CSZ9349,A320,Haikou Meilan Int'l (HAK / ZJHK),Thu 06:53AM CST,Thu 09:11AM CST
16,CDG8015,B738,Qingdao Liuting Int'l (TAO / ZSQD),Thu 07:28AM CST,Thu 08:29AM CST
17,CDG2295,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 06:43AM CST,Thu 08:10AM CST
18,CES2904,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 11:00PM CST,Thu 12:39AM CST
19,CES2940,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 10:47PM CST,Thu 12:07AM CST
20,CES2952,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 10:04PM CST,Wed 11:48PM CST
21,CSC8432,A320,Haikou Meilan Int'l (HAK / ZJHK),Wed 07:53PM CST,Wed 10:11PM CST
22,CSN6469,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 08:26PM CST,Wed 10:06PM CST
23,CSZ8967,B739,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 07:51PM CST,Wed 09:46PM CST
24,CSC8108,A320,Qingdao Liuting Int'l (TAO / ZSQD),Wed 08:37PM CST,Wed 09:36PM CST
25,CES2948,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 06:55PM CST,Wed 08:45PM CST
26,CGZ7145,E190,Guiyang Longdongbao (KWE / ZUGY),Wed 06:37PM CST,Wed 08:25PM CST
27,CSN3351,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wed 06:25PM CST,Wed 08:05PM CST
28,CSZ9675,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Wed 06:00PM CST,Wed 07:50PM CST
29,CCA1825,A321,Beijing Capital Int'l (PEK / ZBAA),Wed 05:49PM CST,Wed 07:16PM CST
30,CSC8326,A320,Fuzhou Changle Int'l (FOC / ZSFZ),Wed 05:28PM CST,Wed 06:44PM CST
