,标识符,机型,始发地,出发,到达
0,CSN306,B789,Auckland (AKL / NZAA),Wed 10:29PM NZDT,Thu 04:33AM CST
1,KAL319,B772,Incheon Int'l (ICN / RKSI),Wed 11:55PM KST,Thu 02:21AM CST
2,FDX159,MD11,Anchorage Intl (PANC),Tue 11:13PM AKST,Thu 02:19AM CST
3,FDX6013,B77L,Sydney (SYD / YSSY),Wed 07:56PM AEDT,Thu 02:02AM CST
4,JYH1438,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Wed 11:54PM CST,Thu 02:01AM CST
5,FDX6002,B752,Noi Bai Int'l (HAN / VVNB),Wed 11:40PM +07,Thu 01:53AM CST
6,CQH8680,A320,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Wed 11:03PM CST,Thu 01:53AM CST
7,CDC8062,A320,Penglai International (YNT / ZSYT),Wed 10:36PM CST,Thu 01:47AM CST
8,FDX5960,B763,Clark International (CRK / RPLC),Wed 11:51PM PST,Thu 01:43AM CST
9,FDX6012,MD11,Singapore Changi (SIN / WSSS),Wed 10:10PM +08,Thu 01:40AM CST
10,AXM116,A320,Kuala Lumpur Int'l (KUL / WMKK),Wed 09:52PM +08,Thu 01:33AM CST
11,FDX77,B77L,Sydney (SYD / YSSY),Wed 07:26PM AEDT,Thu 01:30AM CST
12,BBC66,B738,Shahjalal International Airport (DAC / VGHS),Wed 08:23PM +06,Thu 01:25AM CST
13,CDC8060,A320,Xuzhou (XUZ / ZSXZ),Wed 11:14PM CST,Thu 01:24AM CST
14,CBJ5856,A321,Qingdao Liuting Int'l (TAO / ZSQD),Wed 10:24PM CST,Thu 01:21AM CST
15,CQH8541,A320,Shanghai Pudong Int'l (PVG / ZSPD),Wed 11:04PM CST,Thu 01:20AM CST
16,ANA8489,B763,Narita Int'l (NRT / RJAA),Wed 08:47PM JST,Thu 01:18AM CST
17,CQH8541,A320,Shanghai Pudong Int'l (PVG / ZSPD),Wed 11:04PM CST,Thu 01:20AM CST
18,ANA8489,B763,Narita Int'l (NRT / RJAA),Wed 08:47PM JST,Thu 01:18AM CST
19,JYH1416,B738,Hefei Xinqiao Airport (HFE / ZSOF),Wed 11:25PM CST,Thu 01:16AM CST
20,CES6956,B732,Xi'an Xianyang Int'l (XIY / ZLXY),Wed 10:54PM CST,Thu 01:13AM CST
21,JYH1258,B738,Wenzhou Int'l (WNZ / ZSWZ),Wed 11:38PM CST,Thu 01:04AM CST
22,CBJ5118,A321,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Wed 10:12PM CST,Thu 12:58AM CST
23,CDC8989,A320,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 11:08PM CST,Thu 12:55AM CST
24,DKH1900,A320,Lijiang (LJG / ZPLJ),Wed 10:50PM CST,Thu 12:51AM CST
25,CES6629,B732,Beijing Daxing International Airport (PKX / ZBAD),Wed 09:51PM CST,Thu 12:47AM CST
26,JYH1026,B738,Haikou Meilan Int'l (HAK / ZJHK),Wed 11:40PM CST,Thu 12:47AM CST
27,CDC8912,A320,Yichang (YIH / ZHYC),Wed 11:13PM CST,Thu 12:44AM CST
28,CSZ9686,A320,Nantong (NTG / ZSNT),Wed 10:27PM CST,Thu 12:43AM CST
29,JYH1104,B738,Xishuangbanna Gasa (JHG / ZPJH),Wed 10:35PM CST,Thu 12:41AM CST
30,CSZ9870,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 10:41PM CST,Thu 12:41AM CST
31,CSN6749,A330,Sanya Phoenix Int'l (SYX / ZJSY),Wed 11:27PM CST,Thu 12:35AM CST
32,CSN3440,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Wed 11:04PM CST,Thu 12:32AM CST
33,CHH7803,A333,Beijing Capital Int'l (PEK / ZBAA),Wed 09:42PM CST,Thu 12:32AM CST
34,CSN3802,B788,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 10:39PM CST,Thu 12:27AM CST
35,CSN3802,B788,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 10:39PM CST,Thu 12:27AM CST
36,CQH6232,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Wed 09:47PM CST,Thu 12:27AM CST
37,CSN3849,B738,Wuhan Tianhe (WUH / ZHHH),Wed 10:53PM CST,Thu 12:25AM CST
38,CES6824,B732,Kunming Changshui Int'l (KMG / ZPPP),Wed 10:53PM CST,Thu 12:24AM CST
39,CQH8929,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 10:13PM CST,Thu 12:23AM CST
40,CBJ5162,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Wed 10:29PM CST,Thu 12:20AM CST
41,JYH1122,B738,Qionghai Bo'ao Airport (BAR / ZJQH),Wed 11:10PM CST,Thu 12:19AM CST
42,CHH7114,B738,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 10:25PM CST,Thu 12:18AM CST
43,CES5319,A333,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 10:04PM CST,Thu 12:16AM CST
44,CSZ9986,A320,Hefei Xinqiao Airport (HFE / ZSOF),Wed 10:21PM CST,Thu 12:16AM CST
45,CBJ5166,A321,Harbin Taiping Int'l (HRB / ZYHB),Wed 07:58PM CST,Thu 12:15AM CST
46,CSN3114,B789,Beijing Daxing International Airport (PKX / ZBAD),Wed 09:20PM CST,Thu 12:15AM CST
47,CSN5436,A320,Sanya Phoenix Int'l (SYX / ZJSY),Wed 11:05PM CST,Thu 12:14AM CST
48,CSN3648,A21N,Fuzhou Changle Int'l (FOC / ZSFZ),Wed 10:47PM CST,Thu 12:11AM CST
49,CES2817,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 10:03PM CST,Thu 12:09AM CST
50,CCA1329,747,Beijing Capital Int'l (PEK / ZBAA),Wed 09:22PM CST,Thu 12:09AM CST
51,JYH1056,B738,Tianjin Binhai Int'l (TSN / ZBTJ),Wed 09:14PM CST,Thu 12:08AM CST
52,CSN3698,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 10:03PM CST,Thu 12:07AM CST
53,CSN3222,A320,Nanyang (NNY / ZHNY),Wed 10:18PM CST,Thu 12:06AM CST
54,CES2492,B732,Wenzhou Int'l (WNZ / ZSWZ),Wed 10:19PM CST,Thu 12:04AM CST
55,CSN3530,B789,Shanghai Hongqiao Int'l (SHA / ZSSS),Wed 09:53PM CST,Thu 12:04AM CST
56,OKA2788,B738,Tianjin Binhai Int'l (TSN / ZBTJ),Wed 09:12PM CST,Thu 12:03AM CST
57,CSN3490,A21N,Kunming Changshui Int'l (KMG / ZPPP),Wed 10:29PM CST,Thu 12:01AM CST
