,标识符,机型,始发地,出发,到达
0,CSZ9540,B738,Taiyuan Wusu (TYN / ZBYN),Thu 12:34PM CST,Thu 02:17PM CST
1,CES2906,A321,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 12:12PM CST,Thu 02:15PM CST
2,CES2712,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 12:40PM CST,Thu 02:06PM CST
3,DKH1846,A321,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:12PM CST,Thu 01:52PM CST
4,CES2958,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 11:44AM CST,Thu 01:35PM CST
5,CSZ9530,B738,Zhuhai Int'l (ZUH / ZGSD),Thu 11:20AM CST,Thu 01:30PM CST
6,CES2768,A320,Beijing Daxing International Airport (PKX / ZBAD),Thu 11:51AM CST,Thu 01:26PM CST
7,CSC3051,A320,Luzhou (LZO / ZULZ),Thu 11:08AM CST,Thu 01:21PM CST
8,CSZ9819,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 11:27AM CST,Thu 01:18PM CST
9,CSZ9803,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 11:04AM CST,Thu 01:03PM CST
10,JYH1071,B738,Guiyang Longdongbao (KWE / ZUGY),Thu 10:05AM CST,Thu 01:01PM CST
11,EPA6217,B738,Shenzhen Bao'an Int'l (SZX / ZGSZ),Thu 10:40AM CST,Thu 12:48PM CST
12,CES2956,A321,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 10:41AM CST,Thu 12:16PM CST
13,CDC8035,A320,Guiyang Longdongbao (KWE / ZUGY),Thu 10:20AM CST,Thu 12:12PM CST
14,CSZ9546,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 10:06AM CST,Thu 12:08PM CST
15,OTC7147,A321,Kunming Changshui Int'l (KMG / ZPPP),Thu 09:46AM CST,Thu 11:59AM CST
16,CSZ9823,B738,Guangzhou Baiyun Int'l (CAN / ZGGG),Thu 10:09AM CST,Thu 11:55AM CST
17,RLH6541,B733,Kunming Changshui Int'l (KMG / ZPPP),Thu 09:30AM CST,Thu 11:40AM CST
18,CSZ8124,B738,Changsha Huanghua Int'l (CSX / ZGHA),Thu 10:19AM CST,Thu 11:36AM CST
19,DKH1862,A321,Fuzhou Changle Int'l (FOC / ZSFZ),Thu 10:21AM CST,Thu 11:31AM CST
20,CES2996,A320,Kunming Changshui Int'l (KMG / ZPPP),Thu 08:52AM CST,Thu 11:09AM CST
21,DKH1853,A20N,Qingdao Liuting Int'l (TAO / ZSQD),Thu 09:55AM CST,Thu 11:05AM CST
