,标识符,机型,始发地,出发,到达
0,CSZ9610,A320,Yangzhou Taizhou (YTY / ZSYA),Thu 12:12PM CST,Thu 02:36PM CST
1,CHH7258,A333,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:53PM CST,Thu 02:33PM CST
2,CES5337,A320,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 12:17PM CST,Thu 02:32PM CST
3,CSZ9876,A333,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 12:37PM CST,Thu 02:30PM CST
4,TBA9893,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 12:30PM CST,Thu 02:27PM CST
5,CSZ9806,B738,Wuxi (WUX / ZSWX),Thu 12:14PM CST,Thu 02:27PM CST
6,CSN6357,A320,Qingdao Liuting Int'l (TAO / ZSQD),Thu 11:30AM CST,Thu 02:25PM CST
7,CSZ9126,A320,Tianjin Binhai Int'l (TSN / ZBTJ),Thu 11:21AM CST,Thu 02:23PM CST
8,CSN3560,A330,Nanjing Lukou Int'l (NKG / ZSNJ),Thu 12:08PM CST,Thu 02:19PM CST
9,CSZ9946,A319,Zhaotong (ZAT / ZPZT),Thu 12:32PM CST,Thu 02:17PM CST
10,CSN6138,A321,Beijing Daxing International Airport (PKX / ZBAD),Thu 11:17AM CST,Thu 02:16PM CST
11,CSN3966,A330,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 11:56AM CST,Thu 02:11PM CST
12,CSN3458,A330,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 12:10PM CST,Thu 02:09PM CST
13,CSZ9424,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:25PM CST,Thu 02:07PM CST
14,CSZ9138,B739,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Thu 11:13AM CST,Thu 02:06PM CST
15,CSZ9892,A320,Hefei Xinqiao Airport (HFE / ZSOF),Thu 12:02PM CST,Thu 02:04PM CST
16,CSZ9502,A333,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 11:44AM CST,Thu 02:01PM CST
17,CSZ9960,B738,Wanxian (WXN / ZUWX),Thu 12:02PM CST,Thu 01:59PM CST
18,CSZ9960,B738,Wanxian (WXN / ZUWX),Thu 12:02PM CST,Thu 01:59PM CST
19,CSZ9948,A319,Tengchong Tuofeng (TCZ / ZPTC),Thu 11:48AM CST,Thu 01:55PM CST
20,CSN3570,A330,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 12:02PM CST,Thu 01:53PM CST
21,CDG1187,B738,Jinan Yaoqiang (TNA / ZSJN),Thu 11:03AM CST,Thu 01:51PM CST
22,CSC8703,A320,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 11:53AM CST,Thu 01:47PM CST
23,CSH9333,B738,Shanghai Hongqiao Int'l (SHA / ZSSS),Thu 11:40AM CST,Thu 01:46PM CST
24,CSN6600,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Thu 11:29AM CST,Thu 01:45PM CST
25,CHH7742,B789,Chengdu Shuangliu Int'l (CTU / ZUUU),Thu 11:40AM CST,Thu 01:43PM CST
26,CSZ9926,B738,Wenzhou Int'l (WNZ / ZSWZ),Thu 12:06PM CST,Thu 01:41PM CST
27,CHH7869,B738,Xi'an Xianyang Int'l (XIY / ZLXY),Thu 11:05AM CST,Thu 01:40PM CST
28,CSZ9838,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Thu 11:31AM CST,Thu 01:37PM CST
29,CSN3466,A21N,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 11:54AM CST,Thu 01:36PM CST
