,标识符,机型,始发地,出发,到达
0,AMU181,A320,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 12:29PM CST,Thu 02:13PM CST
1,CSH875,B738,Shanghai Pudong Int'l (PVG / ZSPD),Thu 10:13AM CST,Thu 12:37PM CST
2,AMU9,A321,Beijing Capital Int'l (PEK / ZBAA),Wed 08:19PM CST,Wed 11:31PM CST
3,AMU15,A320,Taiyuan Wusu (TYN / ZBYN),Wed 07:49PM CST,Wed 10:33PM CST
4,AMU131,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Wed 08:38PM CST,Wed 09:41PM CST
5,SJX205,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 06:52PM CST,Wed 08:16PM CST
6,AMU107,A320,Changzhou Benniu (CZX / ZSCG),Wed 05:42PM CST,Wed 07:55PM CST
7,AMU1,A321,Beijing Capital Int'l (PEK / ZBAA),Wed 04:36PM CST,Wed 07:48PM CST
8,AMU135,A321,Shanghai Pudong Int'l (PVG / ZSPD),Wed 05:17PM CST,Wed 07:35PM CST
9,QTR8911,B772,Hamad Int'l (DOH / OTHH),Wed 07:13AM +03,Wed 07:21PM CST
10,AMU127,A321,Nanjing Lukou Int'l (NKG / ZSNJ),Wed 05:04PM CST,Wed 07:10PM CST
11,AMU161,A320,Ningbo Lishe Int'l (NGB / ZSNB),Wed 04:11PM CST,Wed 06:11PM CST
12,AMU225,A321,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Wed 03:56PM CST,Wed 05:54PM CST
13,AMU109,A321,Shanghai Pudong Int'l (PVG / ZSPD),Wed 03:07PM CST,Wed 05:21PM CST
14,AIQ764,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Wed 01:59PM +07,Wed 05:12PM CST
15,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Wed 01:02PM CST,Wed 03:22PM CST
16,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 01:05PM CST,Wed 02:35PM CST
17,CES2007,A321,Shanghai Pudong Int'l (PVG / ZSPD),Wed 01:02PM CST,Wed 03:22PM CST
18,SJX203,A21N,Taiwan Taoyuan Int'l (TPE / RCTP),Wed 01:05PM CST,Wed 02:35PM CST
