,标识符,机型,始发地,出发,到达
0,CDC8127,A320,Nanchang Changbei Int'l (KHN / ZSCN),Thu 01:06PM CST,Thu 02:31PM CST
1,CSN3730,B738,Ningbo Lishe Int'l (NGB / ZSNB),Thu 12:04PM CST,Thu 02:11PM CST
2,CBG8978,A320,Luoyang (LYA / ZHLY),Thu 12:03PM CST,Thu 02:09PM CST
3,CDG1157,B738,Beijing Capital Int'l (PEK / ZBAA),Thu 10:48AM CST,Thu 02:05PM CST
4,CSN3846,B738,Haikou Meilan Int'l (HAK / ZJHK),Thu 01:18PM CST,Thu 02:00PM CST
5,CSN6292,B738,Wuhan Tianhe (WUH / ZHHH),Thu 11:48AM CST,Thu 01:27PM CST
6,CXA8355,B738,Fuzhou Changle Int'l (FOC / ZSFZ),Thu 12:01PM CST,Thu 01:24PM CST
7,CSC8721,A319,Xichang Qingshan (XIC / ZUXC),Thu 11:12AM CST,Thu 01:16PM CST
8,CDC8087,A320,Xuzhou (XUZ / ZSXZ),Thu 10:50AM CST,Thu 01:13PM CST
9,CXA8559,B738,Xiamen Gaoqi Int'l (XMN / ZSAM),Thu 11:59AM CST,Thu 01:08PM CST
10,CCA4559,B737,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 11:16AM CST,Thu 01:06PM CST
11,CDC8637,A320,Jinggangshan (JGS / ZSJA),Thu 11:55AM CST,Thu 01:02PM CST
12,CSN8939,A321,Beijing Daxing International Airport (PKX / ZBAD),Thu 09:52AM CST,Thu 12:51PM CST
13,CCA1479,A321,Beijing Capital Int'l (PEK / ZBAA),Thu 09:24AM CST,Thu 12:38PM CST
14,CSN3790,B738,Kunming Changshui Int'l (KMG / ZPPP),Thu 10:58AM CST,Thu 12:35PM CST
15,CSN6439,A320,Qingdao Liuting Int'l (TAO / ZSQD),Thu 09:22AM CST,Thu 12:21PM CST
16,CSN3774,B738,Changde Taohuayuan (CGD / ZGCD),Thu 10:46AM CST,Thu 12:14PM CST
17,CDG2155,B738,Haikou Meilan Int'l (HAK / ZJHK),Thu 11:22AM CST,Thu 12:10PM CST
18,OKA2705,B738,Hangzhou Xiaoshan Int'l (HGH / ZSHC),Thu 10:06AM CST,Thu 12:07PM CST
19,EPA6276,B738,Quanzhou Jinjiang (JJN / ZSQZ),Thu 10:42AM CST,Thu 11:56AM CST
20,GCR7675,A320,Ganzhou Huangjin (KOW / ZSGZ),Thu 10:55AM CST,Thu 11:53AM CST
21,CDG4709,B738,Zhengzhou Xinzheng Int'l (CGO / ZHCC),Thu 09:26AM CST,Thu 11:41AM CST
22,CES6415,A320,Wenzhou Int'l (WNZ / ZSWZ),Thu 09:55AM CST,Thu 11:38AM CST
23,CXA8555,B738,Chongqing Jiangbei Int'l (CKG / ZUCK),Thu 09:44AM CST,Thu 11:34AM CST
24,GCR7809,A320,Longyan Guanzhishan (LCX / ZSLD),Thu 10:20AM CST,Thu 11:30AM CST
25,CES2791,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Thu 09:19AM CST,Thu 11:27AM CST
26,CES2733,A320,Wuxi (WUX / ZSWX),Thu 08:51AM CST,Thu 11:14AM CST
