,标识符,机型,始发地,出发,到达
0,UPS58,B748,Daniel K Inouye Intl (PHNL),Wed 09:16AM HST,Thu 02:14PM HKT
1,SIA7952,B744,Singapore Changi (SIN / WSSS),Thu 10:58AM +08,Thu 02:07PM HKT
2,WGN7342,B744,Incheon Int'l (ICN / RKSI),Thu 11:32AM KST,Thu 01:55PM HKT
3,BOX594,B77L,Narita Int'l (NRT / RJAA),Thu 10:15AM JST,Thu 01:50PM HKT
4,MAS6118,A332,Kota Kinabalu Int'l (BKI / WBKK),Thu 11:08AM +08,Thu 01:39PM HKT
5,AAL9705,B77W,Narita Int'l (NRT / RJAA),Thu 09:04AM JST,Thu 01:03PM HKT
6,CPA906,A359,Manila Int'l (MNL / RPLL),Thu 11:18AM PST,Thu 12:56PM HKT
7,PAC947,B748,Anchorage Intl (PANC),Wed 09:49AM AKST,Thu 12:52PM HKT
8,AAL9705,B77W,Narita Int'l (NRT / RJAA),Thu 09:04AM JST,Thu 01:03PM HKT
9,CPA906,A359,Manila Int'l (MNL / RPLL),Thu 11:18AM PST,Thu 12:56PM HKT
10,PAC947,B748,Anchorage Intl (PANC),Wed 09:49AM AKST,Thu 12:52PM HKT
11,CAL909,A333,Taiwan Taoyuan Int'l (TPE / RCTP),Thu 10:46AM CST,Thu 12:12PM HKT
12,CPA18,B744,Bandaranaike Int'l (CMB / VCBI),Thu 04:21AM +0530,Thu 11:37AM HKT
13,THA600,A359,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Thu 08:24AM +07,Thu 11:26AM HKT
14,CLX8703,B744,Kuala Lumpur Int'l (KUL / WMKK),Thu 08:03AM +08,Thu 11:20AM HKT
15,CPA3255,B748,Shanghai Pudong Int'l (PVG / ZSPD),Thu 09:09AM CST,Thu 11:17AM HKT
16,SIA890,A359,Singapore Changi (SIN / WSSS),Thu 07:39AM +08,Thu 10:52AM HKT
17,CPA18,B744,Bandaranaike Int'l (CMB / VCBI),Thu 04:21AM +0530,Thu 11:37AM HKT
18,THA600,A359,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Thu 08:24AM +07,Thu 11:26AM HKT
19,CLX8703,B744,Kuala Lumpur Int'l (KUL / WMKK),Thu 08:03AM +08,Thu 11:20AM HKT
20,CPA3255,B748,Shanghai Pudong Int'l (PVG / ZSPD),Thu 09:09AM CST,Thu 11:17AM HKT
21,SIA890,A359,Singapore Changi (SIN / WSSS),Thu 07:39AM +08,Thu 10:52AM HKT
22,AHK3356,A306,Manila Int'l (MNL / RPLL),Thu 08:25AM PST,Thu 10:04AM HKT
